Date,Source,Campaign,Spend,Clicks,Impressions,AdGroup,Ad
2024-03-11,Bloggers,,200.0,26,2178,,
2024-03-14,Bloggers,,200.0,216,5001,,
2023-07-07,Facebook Ads,05.07.23interests_DE,1.1,0,46,interest_programming,b3
2024-04-15,SMM,,200.0,96,0,,
2023-07-07,Google Ads,performancemax_eng_DE,10.46,120,3859,,
2023-07-07,Facebook Ads,04.07.23recentlymoved_DE,0.16,0,7,recentlymoved,b1
2023-07-07,Facebook Ads,05.07.23interests_DE,0.12,0,18,interest_programming – Copy,b2
2023-07-07,Facebook Ads,05.07.23interests_DE,0.3,0,23,interest_programming – Copy,b3
2023-07-07,Facebook Ads,05.07.23interests_DE,0.36,0,29,interest_dataanalytics – Copy,b4
2023-07-07,Facebook Ads,05.07.23interests_DE,0.34,0,24,interest_dataanalytics – Copy,b2
2023-07-07,Facebook Ads,05.07.23interests_DE,0.65,2,49,interest_work,b3
2023-07-07,Facebook Ads,05.07.23interests_DE,0.94,2,83,interest_work,b4
2024-05-10,Bloggers,,200.0,210,5721,,
2023-07-07,Google Ads,gen_analyst_DE,25.85,26,190,,
2024-05-18,Bloggers,,200.0,137,1994,,
2023-07-07,Facebook Ads,05.07.23interests_DE,1.09,1,82,interest_dataanalytics,b3
2023-07-07,Facebook Ads,04.07.23recentlymoved_DE,8.59,6,623,recentlymoved,b2
2023-07-07,Facebook Ads,02.07.23wide_DE,0.35,0,17,wide,b2
2024-06-21,Telegram posts,,200.0,0,0,,
2024-01-09,Bloggers,,184.0,55,16700,,
2023-07-07,Facebook Ads,05.07.23interests_DE,0.0,0,1,interest_dataanalytics – Copy,b3
2023-07-07,Facebook Ads,04.07.23recentlymoved_DE,0.79,1,73,recentlymoved,b4
2023-07-07,Facebook Ads,07.07.23LAL_DE,6.54,7,375,LAL1,b3
2023-07-07,Facebook Ads,02.07.23wide_DE,0.04,0,1,wide,b1
2023-07-07,Facebook Ads,03.07.23women,0.2,1,18,women,b2
2023-07-07,Facebook Ads,05.07.23interests_DE,0.14,0,10,interest_dataanalytics,b2
2023-07-07,Facebook Ads,05.07.23interests_DE,0.04,0,8,interest_dataanalytics,b4
2023-07-07,Facebook Ads,03.07.23women,0.02,0,1,women,b4
2023-07-07,Facebook Ads,05.07.23interests_DE,0.02,0,3,interest_dataanalytics,b1
2023-07-07,Facebook Ads,02.07.23wide_DE,14.78,31,1062,wide,b3
2023-07-07,Tiktok Ads,12.07.2023wide_DE,0.0,0,0,wide,v2
2023-07-07,Facebook Ads,05.07.23interests_DE,1.02,2,86,interest_programming – Copy,b4
2023-07-07,Facebook Ads,05.07.23interests_DE,4.28,11,290,interest_work,b2
2023-11-06,Bloggers,,183.0,177,1815,,
2023-07-07,Tiktok Ads,12.07.2023wide_DE,0.0,0,0,wide,v1
2024-02-22,Bloggers,,180.0,276,6540,,
2023-07-07,Facebook Ads,03.07.23women,10.68,16,731,women,b3
2023-07-07,Facebook Ads,07.07.23LAL_DE,0.01,0,7,LAL1,b4
2023-07-07,Facebook Ads,02.07.23wide_DE,0.0,0,1,wide,b4
2023-07-07,Facebook Ads,05.07.23interests_DE,0.32,0,38,interest_programming,b4
2023-07-07,Facebook Ads,07.07.23LAL_DE,0.36,0,37,LAL1,b2
2023-07-07,Facebook Ads,04.07.23recentlymoved_DE,2.28,1,126,recentlymoved,b3
2023-07-08,Facebook Ads,02.07.23wide_DE,13.74,19,940,wide,b3
2023-07-08,Facebook Ads,05.07.23interests_DE,0.92,1,70,interest_dataanalytics – Copy,b2
2024-06-05,Telegram posts,,180.0,81,4841,,
